id,date,volume
399,2016-06-23,31379225
400,2016-06-24,64987579
401,2016-06-27,45491756
402,2016-06-28,39565203
403,2016-06-29,32943084
404,2016-06-30,34702639
405,2016-07-01,25603482
406,2016-07-05,27859251
407,2016-07-06,30109590
408,2016-07-07,24360033
409,2016-07-08,27265101
410,2016-07-11,23269626
411,2016-07-12,22288127
412,2016-07-13,22399014
413,2016-07-14,36057603
414,2016-07-15,30331958
415,2016-07-18,36732486
416,2016-07-19,22690490
417,2016-07-20,25320799
418,2016-07-21,30952856
419,2016-07-22,26506075
420,2016-07-25,39095508
421,2016-07-26,41543558
422,2016-07-27,92280275
423,2016-07-28,38147287
424,2016-07-29,25483464
425,2016-08-01,37755686
426,2016-08-02,32274886
427,2016-08-03,28107157
428,2016-08-04,25774059
429,2016-08-05,34200101
430,2016-08-08,26154976
431,2016-08-09,26028603
432,2016-08-10,22767897
433,2016-08-11,23833284
434,2016-08-12,18276547
435,2016-08-15,25003629
436,2016-08-16,33480899
437,2016-08-17,23217740
438,2016-08-18,19296763
439,2016-08-19,25057769
440,2016-08-22,25105654
441,2016-08-23,19390253
442,2016-08-24,23001540
443,2016-08-25,23392897
444,2016-08-26,27370509
445,2016-08-29,23921658
446,2016-08-30,22815497
447,2016-08-31,27265644
448,2016-09-01,25052908
449,2016-09-02,26313135
450,2016-09-06,23740653
451,2016-09-07,39707231
452,2016-09-08,50719791
453,2016-09-09,44964056
454,2016-09-12,41785747
455,2016-09-13,62547232
456,2016-09-14,108613122
457,2016-09-15,90447884
458,2016-09-16,71964632
459,2016-09-19,47369748
460,2016-09-20,34656540
461,2016-09-21,33923980
462,2016-09-22,30131295
463,2016-09-23,52802745
464,2016-09-26,29240653
465,2016-09-27,24405226
466,2016-09-28,29459822
467,2016-09-29,35383410
468,2016-09-30,34063033
469,2016-10-03,21290000
470,2016-10-04,29927280
471,2016-10-05,20421419
472,2016-10-06,28654697
473,2016-10-07,24470377
474,2016-10-10,36107269
475,2016-10-11,63602119
476,2016-10-12,37745045
477,2016-10-13,34806734
478,2016-10-14,35191224
479,2016-10-17,22473663
480,2016-10-18,22508257
481,2016-10-19,19945147
482,2016-10-20,24118935
483,2016-10-21,22320703
484,2016-10-24,23201534
485,2016-10-25,39372794
486,2016-10-26,65731885
487,2016-10-27,28622558
488,2016-10-28,35517569
489,2016-10-31,26982072
490,2016-11-01,44759202
491,2016-11-02,28935110
492,2016-11-03,27365705
493,2016-11-04,31332886
494,2016-11-07,32097231
495,2016-11-08,23340607
496,2016-11-09,56639402
497,2016-11-10,57233876
498,2016-11-11,34260819
499,2016-11-14,51998455
500,2016-11-15,32783355
501,2016-11-16,59075293
502,2016-11-17,26926203
503,2016-11-18,26701564
504,2016-11-21,27750355
505,2016-11-22,22763071
506,2016-11-23,25113722
507,2016-11-25,11243972
508,2016-11-28,25507986
509,2016-11-29,28114816
510,2016-11-30,33487474
511,2016-12-01,35443246
512,2016-12-02,24243808
513,2016-12-05,32817489
514,2016-12-06,25593403
515,2016-12-07,29781884
516,2016-12-08,26299711
517,2016-12-09,33899172
518,2016-12-12,26334256
519,2016-12-13,42609408
520,2016-12-14,32880126
521,2016-12-15,44092267
522,2016-12-16,39326480
523,2016-12-19,26726101
524,2016-12-20,19184853
525,2016-12-21,21988995
526,2016-12-22,25566176
527,2016-12-23,13998412
528,2016-12-27,17786684
529,2016-12-28,19619378
530,2016-12-29,14988280
531,2016-12-30,31078121
532,2017-01-03,28186251
533,2017-01-04,20850505
534,2017-01-05,22044719
535,2017-01-06,31419514
536,2017-01-09,32145605
537,2017-01-10,21526096
538,2017-01-11,26871766
539,2017-01-12,27099166
540,2017-01-13,25804433
541,2017-01-17,32437894
542,2017-01-18,22940226
543,2017-01-19,24226408
544,2017-01-20,28871584
545,2017-01-23,19773986
546,2017-01-24,22955721
547,2017-01-25,32181237
548,2017-01-26,25763704
549,2017-01-27,20442567
550,2017-01-30,30221237
551,2017-01-31,40551991
552,2017-02-01,112035964
553,2017-02-02,32642923
554,2017-02-03,24901403
555,2017-02-06,26535136
556,2017-02-07,36819227
557,2017-02-08,21807865
558,2017-02-09,24315896
559,2017-02-10,19547142
560,2017-02-13,22372021
561,2017-02-14,31422950
562,2017-02-15,34025535
563,2017-02-16,21789666
564,2017-02-17,21373610
565,2017-02-21,22189166
566,2017-02-22,17802516
567,2017-02-23,18825464
568,2017-02-24,21476672
569,2017-02-27,19361217
570,2017-02-28,21396929
571,2017-03-01,35409768
572,2017-03-02,25867137
573,2017-03-03,20213907
574,2017-03-06,19165899
575,2017-03-07,16882562
576,2017-03-08,18180205
577,2017-03-09,20855801
578,2017-03-10,18704430
579,2017-03-13,17625458
580,2017-03-14,15488099
581,2017-03-15,25992231
582,2017-03-16,19456910
583,2017-03-17,38384215
584,2017-03-20,21793966
585,2017-03-21,39992202
586,2017-03-22,26162591
587,2017-03-23,20584245
588,2017-03-24,21671446
589,2017-03-27,22479436
590,2017-03-28,33139331
591,2017-03-29,28380855
592,2017-03-30,18920203
593,2017-03-31,19012588
594,2017-04-03,20219441
595,2017-04-04,19657127
596,2017-04-05,27332311
597,2017-04-06,20534685
598,2017-04-07,16867174
599,2017-04-10,16881122
600,2017-04-11,30734653
601,2017-04-12,20112357
602,2017-04-13,17342580
603,2017-04-17,15807795
604,2017-04-18,14228494
605,2017-04-19,16712357
606,2017-04-20,22650719
607,2017-04-21,16824648
608,2017-04-24,17318652
609,2017-04-25,18890350
610,2017-04-26,20251016
611,2017-04-27,14373797
612,2017-04-28,21104313
613,2017-05-01,33919167
614,2017-05-02,44952316
615,2017-05-03,46142971
616,2017-05-04,23619320
617,2017-05-05,27647313
618,2017-05-08,49253481
619,2017-05-09,39488435
620,2017-05-10,26082077
621,2017-05-11,27444703
622,2017-05-12,32675245
623,2017-05-15,26110341
624,2017-05-16,20146922
625,2017-05-17,51061768
626,2017-05-18,33821183
627,2017-05-19,27091159
628,2017-05-22,23107230
629,2017-05-23,20058989
630,2017-05-24,19351686
631,2017-05-25,19363914
632,2017-05-26,22056974
633,2017-05-30,20270624
634,2017-05-31,24640098
635,2017-06-01,16507879
636,2017-06-02,27913007
637,2017-06-05,25475184
638,2017-06-06,26794401
639,2017-06-07,21178774
640,2017-06-08,21306003
641,2017-06-09,65276866
642,2017-06-12,72746935
643,2017-06-13,34353487
644,2017-06-14,31693046
645,2017-06-15,31901027
646,2017-06-16,50646574
647,2017-06-19,32710986
648,2017-06-20,25073708
649,2017-06-21,21426008
650,2017-06-22,19229949
651,2017-06-23,35690628
652,2017-06-26,25872700
653,2017-06-27,24917773
654,2017-06-28,22222273
655,2017-06-29,31691561
656,2017-06-30,23177479
657,2017-07-03,14385444
658,2017-07-05,21713608
659,2017-07-06,24292414
660,2017-07-07,18860161
661,2017-07-10,21239601
662,2017-07-11,19871415
663,2017-07-12,25050830
664,2017-07-13,25270495
665,2017-07-14,20268831
666,2017-07-17,23949714
667,2017-07-18,17984885
668,2017-07-19,21068251
669,2017-07-20,17330058
670,2017-07-21,25310545
671,2017-07-24,21630982
672,2017-07-25,18971925
673,2017-07-26,15852949
674,2017-07-27,32678443
675,2017-07-28,17325849
676,2017-07-31,19862378
677,2017-08-01,34393966
678,2017-08-02,70262267
679,2017-08-03,26825418
680,2017-08-04,20675691
681,2017-08-07,21994093
682,2017-08-08,36405476
683,2017-08-09,26260901
684,2017-08-10,39801107
685,2017-08-11,26331467
686,2017-08-14,22154486
687,2017-08-15,29485832
688,2017-08-16,27722910
689,2017-08-17,27595336
690,2017-08-18,27496898
691,2017-08-21,26435558
692,2017-08-22,21646375
693,2017-08-23,19448353
694,2017-08-24,19874496
695,2017-08-25,25559215
696,2017-08-28,25790449
697,2017-08-29,29563743
698,2017-08-30,27320985
699,2017-08-31,26842382
700,2017-09-01,16635257
701,2017-09-05,29611447
702,2017-09-06,21690060
703,2017-09-07,21986050
704,2017-09-08,28527517
705,2017-09-11,31630174
706,2017-09-12,71864833
707,2017-09-13,45029308
708,2017-09-14,23724888
709,2017-09-15,49024732
710,2017-09-18,28260649
711,2017-09-19,20668366
712,2017-09-20,52386815
713,2017-09-21,37504252
714,2017-09-22,46750753
715,2017-09-25,44528320
716,2017-09-26,36757890
717,2017-09-27,25494693
718,2017-09-28,22063341
719,2017-09-29,26359485
720,2017-10-02,18749860
721,2017-10-03,16277486
722,2017-10-04,20188277
723,2017-10-05,21341803
724,2017-10-06,17448243
725,2017-10-09,16302190
726,2017-10-10,15659866
727,2017-10-11,16942261
728,2017-10-12,16440001
